The number of train datas: 13024
The number of test datas: 3256
epoch	train_loss	train_acc	val_loss	val_acc
0	0.6980618792025405	0.5184275182810697	0.6784967569227007	0.5804668306865036
1	0.673253536370814	0.5798525797061311	0.6545622565529563	0.6649262896333924
2	0.642227358841486	0.6385902949867436	0.6125113381214751	0.7183660932196446
3	0.5937346397219477	0.6971744471744472	0.5545115264393481	0.7500000001464487
4	0.5325874320119254	0.746007371007371	0.4892627131148111	0.7951474197080739
5	0.4630054912783883	0.7976812037847552	0.4085853785935432	0.8433660935125421
6	0.3846592542141017	0.8422143733179247	0.32389569223952236	0.8839066336137363
7	0.3126010755282948	0.8819103195567681	0.2524352458097425	0.9213759210830239
8	0.2511907683397101	0.9090909089444603	0.19736535612869027	0.9388820634427176
9	0.20392412954085581	0.9296683045218559	0.1653723436286467	0.9533169537562995
10	0.17522752526644114	0.9407248158712644	0.14013811123971565	0.9588452092845551
11	0.1471167653799057	0.9522420148884635	0.1247863829758302	0.9622235875164847
12	0.13021109835301922	0.9580773954309468	0.10793140949795814	0.967444717737615
13	0.11987105138252056	0.9603040539076053	0.09806621210141615	0.9699017201946174
14	0.10595356903659038	0.9683660935125421	0.08825418360403188	0.9726658479587452
15	0.09512475092668791	0.9706695330230845	0.08757092473291647	0.9735872237336723
16	0.0854385197894872	0.9747389436353923	0.07566276492885056	0.9763513514978001
17	0.0799979595902218	0.9761210075174561	0.07174294702800252	0.9775798527263013
18	0.07221621139483018	0.9783476659941146	0.06764371272094127	0.9791154792619279
19	0.0691843989330369	0.9801904178368664	0.06406705798146473	0.9791154792619279
20	0.06718592074784366	0.9807278868314382	0.06138585253415002	0.9797297298761785
21	0.062329654675663544	0.9828777639813153	0.05819415227860139	0.9806511057975544
22	0.059831973165273666	0.9828777642742129	0.06124593625508743	0.9818796070260556
23	0.05595467935249905	0.9855651107115593	0.056681555785073987	0.9828009829474316
24	0.0512174547029801	0.9866400489936004	0.05212920966857921	0.982186732333181
25	0.05149816933113176	0.9859490170525684	0.051611789005650645	0.9837223588688074
26	0.04852671099767199	0.9869471743007256	0.04953313143397579	0.9837223588688074
27	0.0449945375973162	0.9887899261434775	0.05153261835364217	0.9852579852579852
28	0.04665380865060873	0.988482800982801	0.04822360228573221	0.9849508600973087
29	0.0434788863748971	0.9875614252078738	0.046124226269506706	0.9858722360186847
30	0.04307310890031095	0.9876382063882064	0.0451003104741216	0.9864864866329353
31	0.041775734449853476	0.9890970514506029	0.04473757499449083	0.9858722360186847
32	0.04168703877973469	0.9892506142506142	0.044753645361385125	0.985257985404434
33	0.03756726266820835	0.9913237099272613	0.04406560772082583	0.9861793611793612
34	0.036977946955060785	0.9914004914004914	0.04240002811495078	0.9867936117936118
35	0.03764338777183168	0.9904023341523341	0.04173884728891404	0.9871007372471858
36	0.035015436589571416	0.991937960541512	0.04157237446104938	0.9880221130221131
37	0.033235802692738736	0.991477272580824	0.04123364977712494	0.9880221130221131
38	0.034522241926511765	0.9916308353808354	0.04065803046216982	0.9877149877149877
39	0.0332742597019936	0.9918611795076281	0.04050524386117368	0.9877149877149877
40	0.03340226255073521	0.9926289926289926	0.04261175850955472	0.9871007371007371
41	0.0322158481166023	0.9921683046683046	0.0407708788894721	0.9880221130221131
42	0.03080967562250262	0.9932432432432432	0.04244197612967004	0.9874078624078624
43	0.031124500967379138	0.9929361179361179	0.03946762073656924	0.9883292383292384
